product,label,name,description,category,migipediaUrl,migrosId,migrosOnlineId,productUrls,uid
https://static.rwpz.net/spendcast/gtin/7617100046727,"M-Classic ASC · Lachsfilet · Premium Cut, ohne Haut",Lachsfilet,"M-Classic Lachsfilet Premium Cut, ohne Haut",https://static.rwpz.net/spendcast/migros/category/7494858,https://migipedia.migros.ch/de/products/251200355000,251200355000,215737,https://www.migros.ch/de/product/251200355000,100034989
https://static.rwpz.net/spendcast/gtin/7617100083968,Migros Bio · Pouletschnitzel,Pouletschnitzel,Migros Bio Pouletschnitzel ,https://static.rwpz.net/spendcast/migros/category/7494845,https://migipedia.migros.ch/de/products/241101600000,241101600000,222145,https://www.migros.ch/de/product/241101600000,100039725
https://static.rwpz.net/spendcast/gtin/7617100197771,Migros Bio · Rindshackfleisch,Rindshackfleisch,Migros Bio Rindshackfleisch ,https://static.rwpz.net/spendcast/migros/category/7494842,https://migipedia.migros.ch/de/products/220220030020,220220030020,104511,https://www.migros.ch/de/product/220220030020,100019790
https://static.rwpz.net/spendcast/gtin/7617100213341,IP-SUISSE · Vorderschinken,Vorderschinken,Vorderschinken ,https://static.rwpz.net/spendcast/migros/category/7495304,https://migipedia.migros.ch/de/products/231500191210,231500191210,131974,https://www.migros.ch/de/product/231500191210,100025334
https://static.rwpz.net/spendcast/gtin/7617100214355,IP-SUISSE · Cipollata,Cipollata,Cipollata ,https://static.rwpz.net/spendcast/migros/category/7495310,https://migipedia.migros.ch/de/products/230113963910,230113963910,102455,https://www.migros.ch/de/product/230113963910,100018840
https://static.rwpz.net/spendcast/gtin/7617100231093,Spécialité Suisse · St. Galler Olma-Bratwurst,St. Galler Olma-Bratwurst,Spécialité Suisse St. Galler Olma-Bratwurst ,https://static.rwpz.net/spendcast/migros/category/7495310,https://migipedia.migros.ch/de/products/230111256000,230111256000,214243,https://www.migros.ch/de/product/230111256000,100033965
https://static.rwpz.net/spendcast/gtin/7617400010022,Party · Nussmischung · Gesalzen,Nussmischung,Party Nussmischung Gesalzen,https://static.rwpz.net/spendcast/migros/category/7495512,https://migipedia.migros.ch/de/products/101403000000,101403000000,54361,https://www.migros.ch/de/product/101403000000,100005637
https://static.rwpz.net/spendcast/gtin/7617400010213,Party · Nussmischung · geröstet und gesalzen,Nussmischung,Party Nussmischung geröstet und gesalzen Ohne Öl & Fett geröstet,https://static.rwpz.net/spendcast/migros/category/7495512,https://migipedia.migros.ch/de/products/101406500000,101406500000,4959257,https://www.migros.ch/de/product/101406500000,100047199
https://static.rwpz.net/spendcast/gtin/7617400020151,Homemade · Backmischung für Zitronen Cake · Mit Zitronenglasur und ein Backform,Backmischung für Zitronen Cake,Homemade Backmischung für Zitronen Cake Mit Zitronenglasur und ein Backform,https://static.rwpz.net/spendcast/migros/category/7494937,https://migipedia.migros.ch/de/products/102522100000,102522100000,58993,https://www.migros.ch/de/product/102522100000,100006974
https://static.rwpz.net/spendcast/gtin/7617400020328,"Homemade · Backmischung für Rüebli-Torte · mit Backform, mit Marzipanrüebli,,mit Puderzucker",Backmischung für Rüebli-Torte,"Homemade Backmischung für Rüebli-Torte mit Backform, mit Marzipanrüebli,,mit Puderzucker",https://static.rwpz.net/spendcast/migros/category/7494937,https://migipedia.migros.ch/de/products/102522900000,102522900000,58996,https://www.migros.ch/de/product/102522900000,100006959
